id,選手名,年,所属,試合数,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
17,山口鉄也,2010,読売,73,8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0.125,0.125,0.125
17,山口鉄也,2011,読売,60,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
17,山口鉄也,2012,読売,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
17,山口鉄也,2013,読売,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
17,山口鉄也,2014,読売,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
17,山口鉄也,2015,読売,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
17,山口鉄也,2016,読売,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
18,矢貫俊之,2010,北海道日本ハム,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000
18,矢貫俊之,2011,北海道日本ハム,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
18,矢貫俊之,2012,北海道日本ハム,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
18,矢貫俊之,2013,北海道日本ハム,57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
18,矢貫俊之,2014,北海道日本ハム,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
18,矢貫俊之,2015,北海道日本ハム,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
18,矢貫俊之,2015,読売,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
18,矢貫俊之,2016,読売,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
19,ポレダ,2015,読売,24,44,43,0,4,0,0,0,4,1,0,0,0,0,1,0,29,0,0.093,0.093,0.114
19,ポレダ,2016,読売,5,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.000,0.000,0.000
20,戸根千明,2015,読売,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
20,戸根千明,2016,読売,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
21,高木勇人,2015,読売,26,48,42,1,4,1,0,0,5,0,0,0,6,0,0,0,21,2,0.095,0.119,0.095
21,高木勇人,2016,読売,15,28,21,1,0,0,0,0,0,0,0,0,5,0,2,0,12,0,0.000,0.000,0.087
22,公文克彦,2013,読売,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
22,公文克彦,2016,読売,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
23,小山雄輝,2011,読売,3,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0.000,0.000,0.000
23,小山雄輝,2012,読売,10,11,11,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0.091,0.091,0.091
23,小山雄輝,2013,読売,10,10,9,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0.000,0.000,0.000
23,小山雄輝,2014,読売,16,22,19,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0.000,0.000,0.000
23,小山雄輝,2015,読売,7,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0.250,0.250,0.250
23,小山雄輝,2016,読売,7,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.500,0.500,0.500
24,乾真大,2011,北海道日本ハム,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
24,乾真大,2012,北海道日本ハム,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
24,乾真大,2013,北海道日本ハム,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
24,乾真大,2014,北海道日本ハム,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
24,乾真大,2015,北海道日本ハム,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
24,乾真大,2016,読売,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
25,江柄子裕樹,2012,読売,7,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.000,0.000,0.000
25,江柄子裕樹,2013,読売,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
25,江柄子裕樹,2014,読売,19,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000
25,江柄子裕樹,2016,読売,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
26,土田瑞起,2014,読売,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
